Index,Timestamp,Value,Unit,Standardized Value,Standardized Unit,Measure,Human-Readable,Raw Value,Base64 Bytes,Reading Flags,Scale Flags,Measurement Flags,Reserved Flags
0,2014-06-11T03:28:25.087068Z,-0.01,mA,-1e-05,A,Current,-0.01 mA,-00.01,Fy89R11vfYCVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
1,2014-06-11T03:28:25.536975Z,-0.01,mA,-1e-05,A,Current,-0.01 mA,-00.01,Fy89R11vfYCVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
2,2014-06-11T03:28:25.986842Z,-0.01,mA,-1e-05,A,Current,-0.01 mA,-00.01,Fy89R11vfYCVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
3,2014-06-11T03:28:26.436710Z,-0.01,mA,-1e-05,A,Current,-0.01 mA,-00.01,Fy89R11vfYCVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
4,2014-06-11T03:28:26.886543Z,-0.01,mA,-1e-05,A,Current,-0.01 mA,-00.01,Fy89R11vfYCVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
5,2014-06-11T03:28:27.786896Z,-0.04,mA,-4e-05,A,Current,-0.04 mA,-00.04,Fy89R11vfYKXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
6,2014-06-11T03:28:28.587264Z,-183.8,mA,-0.1838,A,Current,-183.8 mA,-183.8,Fyg1R19hf4+foLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
7,2014-06-11T03:28:28.937064Z,-181.2,mA,-0.1812,A,Current,-181.2 mA,-181.2,Fyg1R19gdY2boLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
8,2014-06-11T03:28:29.287641Z,-172.4,mA,-0.1724,A,Current,-172.4 mA,-172.4,Fyg1QVVle4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
9,2014-06-11T03:28:29.637302Z,-172.2,mA,-0.1722,A,Current,-172.2 mA,-172.2,Fyg1QVVle42boLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
10,2014-06-11T03:28:29.986680Z,-171.9,mA,-0.1719,A,Current,-171.9 mA,-171.9,Fyg1QVVgdYufoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
