Index,Timestamp,Value,Unit,Standardized Value,Standardized Unit,Measure,Human-Readable,Raw Value,Base64 Bytes,Reading Flags,Scale Flags,Measurement Flags,Reserved Flags
0,2014-06-11T03:30:07.725910Z,-1.38,mA,-0.00138,A,Current,-1.38 mA,-01.38,Fy89QFVpf4efoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
1,2014-06-11T03:30:08.526050Z,-177.9,mA,-0.1779,A,Current,-177.9 mA,-177.9,Fyg1QVVhdYufoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
2,2014-06-11T03:30:08.876051Z,-178.2,mA,-0.1782,A,Current,-178.2 mA,-178.2,Fyg1QVVnf42boLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
3,2014-06-11T03:30:09.226591Z,-182.7,mA,-0.1827,A,Current,-182.7 mA,-182.7,Fyg1R19le4mVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
4,2014-06-11T03:30:09.575749Z,-178.2,mA,-0.1782,A,Current,-178.2 mA,-178.2,Fyg1QVVnf42boLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
5,2014-06-11T03:30:09.926009Z,-170.9,mA,-0.1709,A,Current,-170.9 mA,-170.9,Fyg1QVVnfYufoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
6,2014-06-11T03:30:10.276147Z,-97.3,mA,-0.0973,A,Current,-97.3 mA,-097.3,Fy89Q19hdYmfoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
7,2014-06-11T03:30:10.625924Z,-95.4,mA,-0.0954,A,Current,-95.4 mA,-095.4,Fy89Q19jfoqXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
8,2014-06-11T03:30:10.978337Z,-95.3,mA,-0.0953,A,Current,-95.3 mA,-095.3,Fy89Q19jfomfoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
9,2014-06-11T03:30:11.326502Z,-95.3,mA,-0.0953,A,Current,-95.3 mA,-095.3,Fy89Q19jfomfoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
10,2014-06-11T03:30:11.676513Z,-95.2,mA,-0.0952,A,Current,-95.2 mA,-095.2,Fy89Q19jfo2boLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
11,2014-06-11T03:30:12.026009Z,-95.1,mA,-0.0951,A,Current,-95.1 mA,-095.1,Fy89Q19jfoiVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
12,2014-06-11T03:30:12.375193Z,-95.1,mA,-0.0951,A,Current,-95.1 mA,-095.1,Fy89Q19jfoiVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
13,2014-06-11T03:30:12.725763Z,-95.2,mA,-0.0952,A,Current,-95.2 mA,-095.2,Fy89Q19jfo2boLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
14,2014-06-11T03:30:13.075288Z,-95.2,mA,-0.0952,A,Current,-95.2 mA,-095.2,Fy89Q19jfo2boLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
15,2014-06-11T03:30:13.425476Z,-95.3,mA,-0.0953,A,Current,-95.3 mA,-095.3,Fy89Q19jfomfoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
16,2014-06-11T03:30:13.775250Z,-95.3,mA,-0.0953,A,Current,-95.3 mA,-095.3,Fy89Q19jfomfoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
17,2014-06-11T03:30:14.124208Z,-95.4,mA,-0.0954,A,Current,-95.4 mA,-095.4,Fy89Q19jfoqXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
18,2014-06-11T03:30:14.475184Z,-95.5,mA,-0.0955,A,Current,-95.5 mA,-095.5,Fy89Q19jfoueoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
19,2014-06-11T03:30:14.825385Z,-95.5,mA,-0.0955,A,Current,-95.5 mA,-095.5,Fy89Q19jfoueoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
20,2014-06-11T03:30:15.175665Z,-95.5,mA,-0.0955,A,Current,-95.5 mA,-095.5,Fy89Q19jfoueoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
21,2014-06-11T03:30:15.525106Z,-95.5,mA,-0.0955,A,Current,-95.5 mA,-095.5,Fy89Q19jfoueoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
22,2014-06-11T03:30:15.874950Z,-95.5,mA,-0.0955,A,Current,-95.5 mA,-095.5,Fy89Q19jfoueoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
23,2014-06-11T03:30:16.225111Z,-95.5,mA,-0.0955,A,Current,-95.5 mA,-095.5,Fy89Q19jfoueoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
24,2014-06-11T03:30:16.575217Z,-95.5,mA,-0.0955,A,Current,-95.5 mA,-095.5,Fy89Q19jfoueoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
25,2014-06-11T03:30:16.924548Z,-95.6,mA,-0.0956,A,Current,-95.6 mA,-095.6,Fy89Q19jfo+eoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
26,2014-06-11T03:30:17.274925Z,-95.6,mA,-0.0956,A,Current,-95.6 mA,-095.6,Fy89Q19jfo+eoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
27,2014-06-11T03:30:17.624586Z,-95.7,mA,-0.0957,A,Current,-95.7 mA,-095.7,Fy89Q19jfomVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
28,2014-06-11T03:30:17.973743Z,-95.7,mA,-0.0957,A,Current,-95.7 mA,-095.7,Fy89Q19jfomVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
29,2014-06-11T03:30:18.324461Z,-95.8,mA,-0.0958,A,Current,-95.8 mA,-095.8,Fy89Q19jfo+foLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
30,2014-06-11T03:30:18.674674Z,-95.8,mA,-0.0958,A,Current,-95.8 mA,-095.8,Fy89Q19jfo+foLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
31,2014-06-11T03:30:19.024481Z,-95.7,mA,-0.0957,A,Current,-95.7 mA,-095.7,Fy89Q19jfomVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
