Index,Timestamp,Value,Unit,Standardized Value,Standardized Unit,Measure,Human-Readable,Raw Value,Base64 Bytes,Reading Flags,Scale Flags,Measurement Flags,Reserved Flags
0,2014-06-11T03:30:51.670749Z,-0.02,mA,-2e-05,A,Current,-0.02 mA,-00.02,Fy89R11vfYWboLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
1,2014-06-11T03:30:52.119511Z,-0.01,mA,-1e-05,A,Current,-0.01 mA,-00.01,Fy89R11vfYCVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
2,2014-06-11T03:30:52.570279Z,-0.01,mA,-1e-05,A,Current,-0.01 mA,-00.01,Fy89R11vfYCVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
3,2014-06-11T03:30:53.020003Z,-0.01,mA,-1e-05,A,Current,-0.01 mA,-00.01,Fy89R11vfYCVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
4,2014-06-11T03:30:53.470126Z,-0.01,mA,-1e-05,A,Current,-0.01 mA,-00.01,Fy89R11vfYCVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
5,2014-06-11T03:30:53.919909Z,-0.01,mA,-1e-05,A,Current,-0.01 mA,-00.01,Fy89R11vfYCVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
6,2014-06-11T03:30:54.370021Z,-0.01,mA,-1e-05,A,Current,-0.01 mA,-00.01,Fy89R11vfYCVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
7,2014-06-11T03:30:54.819970Z,-0.01,mA,-1e-05,A,Current,-0.01 mA,-00.01,Fy89R11vfYCVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
8,2014-06-11T03:30:55.621079Z,-160.4,mA,-0.1604,A,Current,-160.4 mA,-160.4,Fyg1R15nfYqXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
9,2014-06-11T03:30:55.970089Z,-160.5,mA,-0.1605,A,Current,-160.5 mA,-160.5,Fyg1R15nfYueoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
10,2014-06-11T03:30:56.320505Z,-160.7,mA,-0.1607,A,Current,-160.7 mA,-160.7,Fyg1R15nfYmVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
11,2014-06-11T03:30:56.670404Z,-161.0,mA,-0.161,A,Current,-161.0 mA,-161.0,Fyg1R15gdY+doLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
12,2014-06-11T03:30:57.021035Z,-161.3,mA,-0.1613,A,Current,-161.3 mA,-161.3,Fyg1R15gdYmfoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
13,2014-06-11T03:30:57.369767Z,-161.5,mA,-0.1615,A,Current,-161.5 mA,-161.5,Fyg1R15gdYueoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
14,2014-06-11T03:30:57.720366Z,-161.6,mA,-0.1616,A,Current,-161.6 mA,-161.6,Fyg1R15gdY+eoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
15,2014-06-11T03:30:58.070803Z,-161.8,mA,-0.1618,A,Current,-161.8 mA,-161.8,Fyg1R15gdY+foLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
16,2014-06-11T03:30:58.420725Z,-162.0,mA,-0.162,A,Current,-162.0 mA,-162.0,Fyg1R15le4+doLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
17,2014-06-11T03:30:58.770107Z,-162.2,mA,-0.1622,A,Current,-162.2 mA,-162.2,Fyg1R15le42boLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
18,2014-06-11T03:30:59.119634Z,-162.4,mA,-0.1624,A,Current,-162.4 mA,-162.4,Fyg1R15le4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
19,2014-06-11T03:30:59.470225Z,-162.6,mA,-0.1626,A,Current,-162.6 mA,-162.6,Fyg1R15le4+eoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
20,2014-06-11T03:30:59.820076Z,-162.7,mA,-0.1627,A,Current,-162.7 mA,-162.7,Fyg1R15le4mVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
21,2014-06-11T03:31:00.170056Z,-162.9,mA,-0.1629,A,Current,-162.9 mA,-162.9,Fyg1R15le4ufoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
22,2014-06-11T03:31:00.520087Z,-163.0,mA,-0.163,A,Current,-163.0 mA,-163.0,Fyg1R15hf4+doLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
23,2014-06-11T03:31:00.870765Z,-163.1,mA,-0.1631,A,Current,-163.1 mA,-163.1,Fyg1R15hf4iVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
24,2014-06-11T03:31:01.219836Z,-163.2,mA,-0.1632,A,Current,-163.2 mA,-163.2,Fyg1R15hf42boLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
25,2014-06-11T03:31:01.569764Z,-163.3,mA,-0.1633,A,Current,-163.3 mA,-163.3,Fyg1R15hf4mfoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
26,2014-06-11T03:31:01.919933Z,-163.4,mA,-0.1634,A,Current,-163.4 mA,-163.4,Fyg1R15hf4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
27,2014-06-11T03:31:02.269400Z,-163.4,mA,-0.1634,A,Current,-163.4 mA,-163.4,Fyg1R15hf4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
28,2014-06-11T03:31:02.619715Z,-163.5,mA,-0.1635,A,Current,-163.5 mA,-163.5,Fyg1R15hf4ueoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
29,2014-06-11T03:31:02.969861Z,-163.6,mA,-0.1636,A,Current,-163.6 mA,-163.6,Fyg1R15hf4+eoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
30,2014-06-11T03:31:03.319276Z,-163.6,mA,-0.1636,A,Current,-163.6 mA,-163.6,Fyg1R15hf4+eoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
31,2014-06-11T03:31:03.669707Z,-163.7,mA,-0.1637,A,Current,-163.7 mA,-163.7,Fyg1R15hf4mVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
32,2014-06-11T03:31:04.018704Z,-163.7,mA,-0.1637,A,Current,-163.7 mA,-163.7,Fyg1R15hf4mVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
33,2014-06-11T03:31:04.369355Z,-163.8,mA,-0.1638,A,Current,-163.8 mA,-163.8,Fyg1R15hf4+foLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
34,2014-06-11T03:31:04.719752Z,-163.8,mA,-0.1638,A,Current,-163.8 mA,-163.8,Fyg1R15hf4+foLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
35,2014-06-11T03:31:05.069373Z,-163.8,mA,-0.1638,A,Current,-163.8 mA,-163.8,Fyg1R15hf4+foLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
36,2014-06-11T03:31:05.419818Z,-163.9,mA,-0.1639,A,Current,-163.9 mA,-163.9,Fyg1R15hf4ufoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
