Index,Timestamp,Value,Unit,Standardized Value,Standardized Unit,Measure,Human-Readable,Raw Value,Base64 Bytes,Reading Flags,Scale Flags,Measurement Flags,Reserved Flags
0,2014-06-11T03:31:32.865834Z,-0.02,mA,-2e-05,A,Current,-0.02 mA,-00.02,Fy89R11vfYWboLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
1,2014-06-11T03:31:33.666408Z,-86.9,mA,-0.0869,A,Current,-86.9 mA,-086.9,Fy89R19nfoufoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
2,2014-06-11T03:31:34.016088Z,-134.2,mA,-0.1342,A,Current,-134.2 mA,-134.2,Fyg1QV9id42boLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
3,2014-06-11T03:31:34.365145Z,-184.4,mA,-0.1844,A,Current,-184.4 mA,-184.4,Fyg1R19id4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
4,2014-06-11T03:31:34.716514Z,-186.8,mA,-0.1868,A,Current,-186.8 mA,-186.8,Fyg1R19nfo+foLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
5,2014-06-11T03:31:35.065910Z,-186.5,mA,-0.1865,A,Current,-186.5 mA,-186.5,Fyg1R19nfoueoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
6,2014-06-11T03:31:35.415853Z,-185.9,mA,-0.1859,A,Current,-185.9 mA,-185.9,Fyg1R19jfoufoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
7,2014-06-11T03:31:35.765904Z,-185.1,mA,-0.1851,A,Current,-185.1 mA,-185.1,Fyg1R19jfoiVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
8,2014-06-11T03:31:36.115471Z,-183.9,mA,-0.1839,A,Current,-183.9 mA,-183.9,Fyg1R19hf4ufoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
9,2014-06-11T03:31:36.465809Z,-183.0,mA,-0.183,A,Current,-183.0 mA,-183.0,Fyg1R19hf4+doLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
10,2014-06-11T03:31:36.816032Z,-186.5,mA,-0.1865,A,Current,-186.5 mA,-186.5,Fyg1R19nfoueoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
11,2014-06-11T03:31:37.165870Z,-187.0,mA,-0.187,A,Current,-187.0 mA,-187.0,Fyg1R19hdY+doLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
12,2014-06-11T03:31:37.516165Z,-184.0,mA,-0.184,A,Current,-184.0 mA,-184.0,Fyg1R19id4+doLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
13,2014-06-11T03:31:37.865893Z,-184.0,mA,-0.184,A,Current,-184.0 mA,-184.0,Fyg1R19id4+doLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
14,2014-06-11T03:31:38.216046Z,-183.9,mA,-0.1839,A,Current,-183.9 mA,-183.9,Fyg1R19hf4ufoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
15,2014-06-11T03:31:38.565909Z,-183.9,mA,-0.1839,A,Current,-183.9 mA,-183.9,Fyg1R19hf4ufoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
16,2014-06-11T03:31:38.916103Z,-183.8,mA,-0.1838,A,Current,-183.8 mA,-183.8,Fyg1R19hf4+foLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
17,2014-06-11T03:31:39.265366Z,-184.2,mA,-0.1842,A,Current,-184.2 mA,-184.2,Fyg1R19id42boLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
18,2014-06-11T03:31:39.615394Z,-183.3,mA,-0.1833,A,Current,-183.3 mA,-183.3,Fyg1R19hf4mfoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
19,2014-06-11T03:31:39.965135Z,-183.3,mA,-0.1833,A,Current,-183.3 mA,-183.3,Fyg1R19hf4mfoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
20,2014-06-11T03:31:40.315416Z,-183.3,mA,-0.1833,A,Current,-183.3 mA,-183.3,Fyg1R19hf4mfoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
21,2014-06-11T03:31:40.665446Z,-183.3,mA,-0.1833,A,Current,-183.3 mA,-183.3,Fyg1R19hf4mfoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
22,2014-06-11T03:31:41.015464Z,-183.2,mA,-0.1832,A,Current,-183.2 mA,-183.2,Fyg1R19hf42boLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
23,2014-06-11T03:31:41.365636Z,-183.2,mA,-0.1832,A,Current,-183.2 mA,-183.2,Fyg1R19hf42boLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
24,2014-06-11T03:31:41.715593Z,-183.1,mA,-0.1831,A,Current,-183.1 mA,-183.1,Fyg1R19hf4iVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
25,2014-06-11T03:31:42.065241Z,-183.0,mA,-0.183,A,Current,-183.0 mA,-183.0,Fyg1R19hf4+doLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
26,2014-06-11T03:31:42.415247Z,-182.9,mA,-0.1829,A,Current,-182.9 mA,-182.9,Fyg1R19le4ufoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
27,2014-06-11T03:31:42.765266Z,-182.9,mA,-0.1829,A,Current,-182.9 mA,-182.9,Fyg1R19le4ufoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
28,2014-06-11T03:31:43.114491Z,-182.9,mA,-0.1829,A,Current,-182.9 mA,-182.9,Fyg1R19le4ufoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
29,2014-06-11T03:31:43.466140Z,-187.1,mA,-0.1871,A,Current,-187.1 mA,-187.1,Fyg1R19hdYiVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
30,2014-06-11T03:31:43.815325Z,-186.9,mA,-0.1869,A,Current,-186.9 mA,-186.9,Fyg1R19nfoufoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
31,2014-06-11T03:31:44.165631Z,-183.6,mA,-0.1836,A,Current,-183.6 mA,-183.6,Fyg1R19hf4+eoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
32,2014-06-11T03:31:44.515859Z,-183.9,mA,-0.1839,A,Current,-183.9 mA,-183.9,Fyg1R19hf4ufoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
33,2014-06-11T03:31:44.864901Z,-183.8,mA,-0.1838,A,Current,-183.8 mA,-183.8,Fyg1R19hf4+foLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
34,2014-06-11T03:31:45.214525Z,-183.3,mA,-0.1833,A,Current,-183.3 mA,-183.3,Fyg1R19hf4mfoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
35,2014-06-11T03:31:45.564594Z,-182.7,mA,-0.1827,A,Current,-182.7 mA,-182.7,Fyg1R19le4mVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
36,2014-06-11T03:31:45.914804Z,-181.8,mA,-0.1818,A,Current,-181.8 mA,-181.8,Fyg1R19gdY+foLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
37,2014-06-11T03:31:46.265059Z,-181.4,mA,-0.1814,A,Current,-181.4 mA,-181.4,Fyg1R19gdYqXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
