Index,Timestamp,Value,Unit,Standardized Value,Standardized Unit,Measure,Human-Readable,Raw Value,Base64 Bytes,Reading Flags,Scale Flags,Measurement Flags,Reserved Flags
0,2014-06-11T02:54:33.491160Z,-21.08,mA,-0.02108,A,Current,-21.08 mA,-21.08,Fy07QFVvfYefoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
1,2014-06-11T02:54:34.291007Z,-174.3,mA,-0.1743,A,Current,-174.3 mA,-174.3,Fyg1QVVid4mfoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
2,2014-06-11T02:54:34.640885Z,-244.1,mA,-0.2441,A,Current,-244.1 mA,-244.1,Fy07Qldid4iVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
3,2014-06-11T02:54:34.990578Z,-244.2,mA,-0.2442,A,Current,-244.2 mA,-244.2,Fy07Qldid42boLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
4,2014-06-11T02:54:35.340235Z,-244.2,mA,-0.2442,A,Current,-244.2 mA,-244.2,Fy07Qldid42boLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
5,2014-06-11T02:54:35.690026Z,-244.3,mA,-0.2443,A,Current,-244.3 mA,-244.3,Fy07Qldid4mfoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
6,2014-06-11T02:54:36.039815Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
7,2014-06-11T02:54:36.389942Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
8,2014-06-11T02:54:36.740134Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
9,2014-06-11T02:54:37.090119Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
10,2014-06-11T02:54:37.439628Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
11,2014-06-11T02:54:37.790019Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
12,2014-06-11T02:54:38.140040Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
13,2014-06-11T02:54:38.490093Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
14,2014-06-11T02:54:38.840521Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
15,2014-06-11T02:54:39.189342Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
16,2014-06-11T02:54:39.539798Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
17,2014-06-11T02:54:39.889599Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
18,2014-06-11T02:54:40.239751Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
19,2014-06-11T02:54:40.589561Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
20,2014-06-11T02:54:40.939307Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
21,2014-06-11T02:54:41.289701Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
22,2014-06-11T02:54:41.639474Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
23,2014-06-11T02:54:41.989610Z,-244.5,mA,-0.2445,A,Current,-244.5 mA,-244.5,Fy07Qldid4ueoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
24,2014-06-11T02:54:42.339543Z,-244.5,mA,-0.2445,A,Current,-244.5 mA,-244.5,Fy07Qldid4ueoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
25,2014-06-11T02:54:42.689571Z,-244.5,mA,-0.2445,A,Current,-244.5 mA,-244.5,Fy07Qldid4ueoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
26,2014-06-11T02:54:43.039548Z,-244.5,mA,-0.2445,A,Current,-244.5 mA,-244.5,Fy07Qldid4ueoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
27,2014-06-11T02:54:43.389478Z,-244.5,mA,-0.2445,A,Current,-244.5 mA,-244.5,Fy07Qldid4ueoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
28,2014-06-11T02:54:43.739540Z,-244.5,mA,-0.2445,A,Current,-244.5 mA,-244.5,Fy07Qldid4ueoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
29,2014-06-11T02:54:44.089583Z,-244.5,mA,-0.2445,A,Current,-244.5 mA,-244.5,Fy07Qldid4ueoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
