Index,Timestamp,Value,Unit,Standardized Value,Standardized Unit,Measure,Human-Readable,Raw Value,Base64 Bytes,Reading Flags,Scale Flags,Measurement Flags,Reserved Flags
0,2014-06-11T03:00:11.401661Z,-0.01,mA,-1e-05,A,Current,-0.01 mA,-00.01,Fy89R11vfYCVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
1,2014-06-11T03:00:11.851229Z,-0.01,mA,-1e-05,A,Current,-0.01 mA,-00.01,Fy89R11vfYCVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
2,2014-06-11T03:00:12.301766Z,-0.01,mA,-1e-05,A,Current,-0.01 mA,-00.01,Fy89R11vfYCVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
3,2014-06-11T03:00:12.751838Z,-0.01,mA,-1e-05,A,Current,-0.01 mA,-00.01,Fy89R11vfYCVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
4,2014-06-11T03:00:13.201922Z,-1.5,mA,-0.0015,A,Current,-1.5 mA,-01.50,Fy89QFVrfoedoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
5,2014-06-11T03:00:14.002330Z,-198.9,mA,-0.1989,A,Current,-198.9 mA,-198.9,Fyg1Q19nf4ufoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
6,2014-06-11T03:00:14.353642Z,-196.4,mA,-0.1964,A,Current,-196.4 mA,-196.4,Fyg1Q19nfoqXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
7,2014-06-11T03:00:14.702238Z,-196.5,mA,-0.1965,A,Current,-196.5 mA,-196.5,Fyg1Q19nfoueoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
8,2014-06-11T03:00:15.051556Z,-196.7,mA,-0.1967,A,Current,-196.7 mA,-196.7,Fyg1Q19nfomVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
9,2014-06-11T03:00:15.402111Z,-196.9,mA,-0.1969,A,Current,-196.9 mA,-196.9,Fyg1Q19nfoufoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
10,2014-06-11T03:00:15.751588Z,-196.9,mA,-0.1969,A,Current,-196.9 mA,-196.9,Fyg1Q19nfoufoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
11,2014-06-11T03:00:16.101448Z,-197.1,mA,-0.1971,A,Current,-197.1 mA,-197.1,Fyg1Q19hdYiVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
12,2014-06-11T03:00:16.451806Z,-197.1,mA,-0.1971,A,Current,-197.1 mA,-197.1,Fyg1Q19hdYiVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
13,2014-06-11T03:00:16.802025Z,-197.3,mA,-0.1973,A,Current,-197.3 mA,-197.3,Fyg1Q19hdYmfoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
14,2014-06-11T03:00:17.151769Z,-197.5,mA,-0.1975,A,Current,-197.5 mA,-197.5,Fyg1Q19hdYueoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
15,2014-06-11T03:00:17.502099Z,-197.7,mA,-0.1977,A,Current,-197.7 mA,-197.7,Fyg1Q19hdYmVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
