Index,Timestamp,Value,Unit,Standardized Value,Standardized Unit,Measure,Human-Readable,Raw Value,Base64 Bytes,Reading Flags,Scale Flags,Measurement Flags,Reserved Flags
0,2014-06-11T03:04:46.571741Z,-3.25,mA,-0.00325,A,Current,-3.25 mA,-03.25,Fy89QV9te4OeoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
1,2014-06-11T03:04:47.371841Z,-87.0,mA,-0.087,A,Current,-87.0 mA,-087.0,Fy89R19hdY+doLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
2,2014-06-11T03:04:47.721461Z,-242.7,mA,-0.2427,A,Current,-242.7 mA,-242.7,Fy07Qldle4mVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
3,2014-06-11T03:04:48.071308Z,-243.1,mA,-0.2431,A,Current,-243.1 mA,-243.1,Fy07Qldhf4iVoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
4,2014-06-11T03:04:48.421482Z,-243.5,mA,-0.2435,A,Current,-243.5 mA,-243.5,Fy07Qldhf4ueoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
5,2014-06-11T03:04:48.771340Z,-243.9,mA,-0.2439,A,Current,-243.9 mA,-243.9,Fy07Qldhf4ufoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
6,2014-06-11T03:04:49.121064Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
7,2014-06-11T03:04:49.470872Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
8,2014-06-11T03:04:49.820945Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
9,2014-06-11T03:04:50.170359Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
10,2014-06-11T03:04:50.520571Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
11,2014-06-11T03:04:50.870837Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
12,2014-06-11T03:04:51.220868Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
13,2014-06-11T03:04:51.570877Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
14,2014-06-11T03:04:51.920766Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
15,2014-06-11T03:04:52.270686Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
16,2014-06-11T03:04:52.620518Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
17,2014-06-11T03:04:52.970807Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
18,2014-06-11T03:04:53.320436Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
19,2014-06-11T03:04:53.670393Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
20,2014-06-11T03:04:54.021130Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
21,2014-06-11T03:04:54.370216Z,-244.4,mA,-0.2444,A,Current,-244.4 mA,-244.4,Fy07Qldid4qXoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
22,2014-06-11T03:04:54.720368Z,-244.5,mA,-0.2445,A,Current,-244.5 mA,-244.5,Fy07Qldid4ueoLjA2Og=,DC;AUTO;RS232,milli,A,other_14_4
